,Date,Bid_Price,Bid_Shares,Ask_Price,Ask_Shares,FeaturePrice1,FeaturePrice2,FeaturePrice3,FeaturePrice4,FeatureShares1,FeatureShares2,price_median,price_norm,Bid_quote,Ask_quote,_pred_raw,TargetPrice
0,2016-09-15,3.05,200.0,4.63,100.0,3.45,3.45,0.0,3.47,0.0,11.0,3.45,3.45,610.0,463.0,1.0017409960870487,3.456006436500318
1,2016-09-15,113.77,100.0,113.77,600.0,113.77,113.61,113.61,111.77,626338.0,-168775.0,113.69,113.69,11377.0,68262.0,0.9985468927928792,113.52479624162244
2,2016-09-15,2.24,100.0,2.58,952.0,2.24,2.24,2.24,2.24,1560.0,-219.0,2.24,2.24,224.00000000000003,2456.16,0.9988941117344114,2.237522810285082
3,2016-09-15,3.62,100.0,3.64,200.0,3.64,3.66,3.66,3.28,34475.0,12846.0,3.64,3.64,362.0,728.0,1.000572834406754,3.6420851172405846
4,2016-09-15,6.56,100.0,6.7,51.0,6.56,6.48,6.48,6.07,2536.0,-8063.0,6.52,6.52,656.0,341.7,0.998432438093735,6.509779496371152
5,2016-09-15,20.24,100.0,27.0,101.0,25.94,26.02,26.02,25.74,9127.0,1630.0,25.98,25.98,2023.9999999999998,2727.0,1.001212616559255,26.011503778209445
6,2016-09-15,97.61,90.0,98.5,2.0,98.56,98.86,98.86,98.79,32805.0,11383.0,98.67500000000001,98.67500000000001,8784.9,197.0,1.001329987999011,98.80623656580242
7,2016-09-15,34.65,600.0,34.73,500.0,34.65,34.0,33.1,21.13,103858.0,-35999.0,34.325,34.325,20790.0,17365.0,0.9999779672180988,34.324243724761246
8,2016-09-15,46.25,2100.0,46.38,50.0,46.38,47.2,47.47,45.26,30148.0,28938.0,46.38,46.38,97125.0,2319.0,1.0052642501916016,46.624155923886484
9,2016-09-15,6.15,2100.0,6.18,8800.0,6.15,6.15,6.12,6.13,0.0,-115.0,6.15,6.15,12915.0,54384.0,0.9988941117344114,6.1431987871666305
10,2016-09-15,5.18,100.0,5.2,625.0,5.18,5.16,5.16,5.13,287.0,-2026.0,5.17,5.17,518.0,3250.0,0.9985190062200745,5.162343262157785
11,2016-09-15,29.69,49.0,29.73,424.0,29.69,29.59,29.58,29.43,109690.0,-21877.0,29.64,29.64,1454.8100000000002,12605.52,0.9985190062200745,29.59610334436301
12,2016-09-15,51.1,1955.0,51.7,600.0,50.88,50.84,50.8,51.97,11106.0,-752.0,50.99,50.99,99900.5,31020.0,1.0001129068813703,50.99575712188108
13,2016-09-15,1.01,1000.0,1.15,200.0,1.19,1.21,1.21,1.22,40.0,1528.0,1.2,1.2,1010.0,229.99999999999997,1.0015786011022365,1.2018943213226838
14,2016-09-15,48.52,222.0,49.75,29.0,49.0,49.62,49.62,46.11,10595.0,3930.0,49.31,49.31,10771.44,1442.75,1.0002207659271352,49.320885967867035
15,2016-09-15,4.53,100.0,4.64,100.0,4.53,4.53,4.49,4.53,0.0,-89.0,4.53,4.53,453.0,463.99999999999994,0.9984025342136298,4.522763479987743
16,2016-09-15,11.31,200.0,11.64,100.0,11.31,11.3,11.3,11.01,43825.0,-693.0,11.305,11.305,2262.0,1164.0,0.9985468927928792,11.2885726230235
17,2016-09-15,1.59,400.0,1.64,100.0,1.58,1.58,1.58,1.54,34596.0,-3868.0,1.58,1.58,636.0,164.0,0.998807543608072,1.5781159189007539
18,2016-09-15,1.94,200.0,2.04,72.0,1.94,1.94,1.93,1.95,465.0,-227.0,1.94,1.94,388.0,146.88,0.9988941117344114,1.9378545767647581
19,2016-09-15,5.35,100.0,5.39,100.0,5.35,5.33,5.33,5.29,2560.0,-780.0,5.34,5.34,535.0,539.0,0.9985190062200745,5.332091493215198
